# lockfree_flip_benchmark MEASURED RUN  W=8 R=4 writes/round=2000 K=30 warmup=2 variant=disjoint arm_select=Both eviction=true
csv_header,arm,round,is_warmup,write_ops,elapsed_secs,write_ops_per_sec,read_ops,checkpoint_rounds,ckpt_pause_mean_us,ckpt_pause_p99_us,write_p50_us,write_p99_us,write_p999_us,cas_retries,peak_rss_kib,round_dir_bytes,variant,durability,evictable_node_count
csv,control,24,0,16000,6.003530,2665.1,8000,40,129044.2,290338.5,59.2,118077.7,278160.4,0,2104792,310436042,disjoint,Immediate,291619
csv,control,25,0,16000,6.092697,2626.1,8000,40,131320.6,290610.8,58.5,121220.4,277866.7,0,2104792,307550514,disjoint,Immediate,292527
csv,treatment,25,0,16000,0.851178,18797.5,14007675,9,74815.5,240367.8,301.9,1796.5,6672.1,52,2104792,35440259,disjoint,Immediate,221071
csv,control,26,0,16000,6.343832,2522.1,7988,40,137598.9,278407.1,60.0,134637.6,273942.4,0,2104792,325895025,disjoint,Immediate,294310
csv,treatment,26,0,16000,0.856084,18689.8,14290642,10,91321.5,314057.6,295.1,1998.6,7007.2,48,2104792,48023204,disjoint,Immediate,282713
csv,control,27,0,16000,5.984821,2673.4,7999,40,128502.9,290404.4,59.6,121271.4,275260.6,0,2104792,305715774,disjoint,Immediate,292324
csv,treatment,27,0,16000,0.898839,17800.7,14780607,10,88810.2,299614.5,316.9,2137.8,6563.6,145,2104792,45926052,disjoint,Immediate,265760
csv,control,28,0,16000,6.180322,2588.9,15990,40,132651.6,269481.1,60.0,127196.9,267762.7,0,2104792,311771981,disjoint,Immediate,283214
csv,treatment,28,0,16000,0.896382,17849.5,14625999,10,100597.5,336820.6,415.0,1695.2,7761.6,35,2104792,51693220,disjoint,Immediate,294508
csv,treatment,29,0,16000,0.851309,18794.6,14018409,9,81866.2,262078.2,319.0,1689.3,5982.5,85,2104792,38585987,disjoint,Immediate,232833
csv,control,29,0,16000,6.436614,2485.8,7926,40,140796.7,285352.6,57.3,129068.6,284176.9,0,2104792,325866637,disjoint,Immediate,303899
csv,treatment,30,0,16000,0.882769,18124.8,14504439,10,85370.3,301932.6,300.9,2214.6,6757.2,120,2104792,44615332,disjoint,Immediate,257702
csv,control,30,0,16000,5.957731,2685.6,7998,40,126368.0,278559.1,61.5,126104.4,256996.9,0,2104792,292922714,disjoint,Immediate,274610
csv,control,31,0,16000,6.187663,2585.8,7998,40,133998.1,295620.4,57.9,127089.8,284362.3,0,2104792,320908117,disjoint,Immediate,296405
csv,treatment,31,0,16000,0.893252,17912.1,14870136,10,92843.2,306655.1,319.4,2046.7,6790.1,123,2104792,47236772,disjoint,Immediate,278554
# MEASURED RUN COMPLETE
