# lockfree_flip_benchmark MEASURED RUN  W=8 R=4 writes/round=2000 K=30 warmup=2 variant=disjoint arm_select=Both eviction=true evict_real=true
csv_header,arm,round,is_warmup,write_ops,elapsed_secs,write_ops_per_sec,read_ops,checkpoint_rounds,ckpt_pause_mean_us,ckpt_pause_p99_us,write_p50_us,write_p99_us,write_p999_us,cas_retries,peak_rss_kib,round_dir_bytes,variant,durability,evictable_node_count,overlay_reclaimed_nodes,evict_bytes_nominal,faultin_count
csv,treatment,27,0,16000,0.927165,17256.9,15273853,6,207185.6,420098.3,327.8,1985.8,7686.3,291,2613484,69977057,disjoint,Immediate,388826,64,16384,0
csv,control,28,0,16000,7.951767,2012.1,8000,33,216327.2,351931.5,58.2,163283.5,347011.4,0,2613484,417608503,disjoint,Immediate,385579,0,0,0
csv,treatment,28,0,16000,0.922496,17344.2,14891341,6,202630.4,405268.1,405.2,1700.7,9397.4,290,2613484,69452769,disjoint,Immediate,385873,50,12800,0
csv,treatment,29,0,16000,0.845719,18918.8,13540509,5,177520.9,322846.4,339.5,1645.4,5760.3,69,2613484,53724096,disjoint,Immediate,316301,62,15872,0
csv,control,29,0,16000,8.570199,1866.9,7990,36,214457.4,361419.6,58.4,183172.6,335399.2,0,2613484,463737189,disjoint,Immediate,388472,0,0,0
csv,treatment,30,0,16000,1.028329,15559.2,18120508,6,190967.1,357051.1,368.9,1788.9,12208.6,532,2613484,66044897,disjoint,Immediate,346125,58,14848,0
csv,control,30,0,16000,8.211467,1948.5,7997,35,210947.0,367836.8,58.5,174345.0,342417.6,0,2613484,440421388,disjoint,Immediate,383351,0,0,0
csv,control,31,0,16000,8.897006,1798.4,7961,38,210444.7,358631.2,60.6,182255.5,347140.2,0,2613484,476326869,disjoint,Immediate,386128,0,0,0
csv,treatment,31,0,16000,1.001879,15970.0,17243930,6,203921.4,385597.7,346.5,1946.5,9636.1,476,2613484,68928481,disjoint,Immediate,370180,55,14080,0
# MEASURED RUN COMPLETE
