# path	kind	pattern	count	contract
src/persistent_vocab_artrie/reverse_index.rs	unsafe_block	let mut mmap = unsafe {	1	vocab-reverse-index-map-lifetime
src/persistent_vocab_artrie/reverse_index.rs	unsafe_block	let mut new_mmap = unsafe {	1	vocab-reverse-index-remap-lifetime
src/persistent_vocab_artrie/types.rs	unsafe_block	Some(unsafe { Box::from_raw(ptr as *mut VocabTrieNode) })	1	vocab-child-box-reclaim
src/persistent_vocab_artrie/types.rs	unsafe_block	let child_ref = unsafe { &*p };	1	vocab-child-read-only-traversal
src/persistent_vocab_artrie/types.rs	unsafe_block	let child_ref = unsafe { &*ptr };	1	vocab-child-read-only-traversal
src/persistent_vocab_artrie/types.rs	unsafe_block	let old_child = unsafe { Box::from_raw(ptr as *mut VocabTrieNode) };	1	vocab-child-box-replacement
src/persistent_vocab_artrie/types.rs	unsafe_block	unsafe {	2	vocab-child-raw-map-iteration
src/persistent_vocab_artrie/types.rs	unsafe_block	unsafe { &*ptr }	1	vocab-child-read-only-traversal
src/persistent_vocab_artrie/types.rs	unsafe_block	unsafe { &mut *(ptr as *mut VocabTrieNode) }	1	vocab-child-unique-mutation
src/persistent_vocab_artrie/types.rs	unsafe_block	unsafe { &mut *ptr }	1	vocab-child-unique-mutation
src/scdawg.rs	unsafe_impl	unsafe impl<V: DictionaryValue> Send for ScdawgNodeHandle<V> {}	1	scdawg-handle-rwlock-thread-contract
src/scdawg.rs	unsafe_impl	unsafe impl<V: DictionaryValue> Sync for ScdawgNodeHandle<V> {}	1	scdawg-handle-rwlock-thread-contract
src/scdawg_char.rs	unsafe_impl	unsafe impl<V: DictionaryValue> Send for ScdawgCharNodeHandle<V> {}	1	scdawg-char-handle-rwlock-thread-contract
src/scdawg_char.rs	unsafe_impl	unsafe impl<V: DictionaryValue> Sync for ScdawgCharNodeHandle<V> {}	1	scdawg-char-handle-rwlock-thread-contract
src/substring.rs	unsafe_impl	unsafe impl Send for MockNode {}	1	substring-test-mock-thread-contract
src/substring.rs	unsafe_impl	unsafe impl Sync for MockNode {}	1	substring-test-mock-thread-contract
